composition,Tc_exp,contains_re
Al4Ce2Fe13,375.0,True
Al4CeIrSi2,10.8,True
Al4Co13Dy2,592.0,True
Al4Co13Er2,681.0,True
Al4Co13Gd2,505.0,True
Al4Co13Ho2,606.0,True
Al4Co13Pr2,583.0,True
Al4Co13Y2,635.0,True
Al4Co9La,890.0,True
Al4Dy1Er1,41.9,True
Al4Dy25Ni46,42.0,True
Al4Eu1,14.0,True
Al4Fe13Ho2,412.0,True
Al4Fe13Y2,410.0,True
Al4Fe8Gd1,385.0,True
Al4Fe8U,480.0,False
Al4Ho25Ni46,30.0,True
Al4Nd5Ni6,17.0,True
Al5.5Fe11.5Ho2,338.0,True
Al50Er23Gd27Ni50,25.0,True
Al56Ho25,25.0,True
Al5Ba4Fe19O44Zn4,370.0,False
Al5Ce2Fe12,315.0,True
Al5Co12Gd2,420.0,True
Al5Er3Gd2Ni5,20.5,True
Al5Er4Gd1Ni5,16.0,True
Al5Fe12Ho2,367.0,True
Al5Fe12Y2,362.0,True
Al5Fe17Sm2Ti2,456.0,True
Al5Fe5Gd6O24,175.0,True
Al5Fe7Y,330.0,True
