composition,Ms
Ca(CoAs)2,186377.7006000796
Ca(CoP)2,188957.9160625459
Ca(Fe2O3)2,1377319.726325423
Ca(FeAs)2,590773.8830548163
Ca(FeO2)2,1236995.7563877143
Ca(FeSi)2,156156.09659794925
Ca(IN3)2,117870.96923356077
Ca(MnAl2)4,346524.16148080525
Ca(MnAs)2,499569.9295538963
Ca(MnBi)2,593591.0925726129
Ca(MnGe)2,730747.1685703675
Ca(MnP)2,431323.2715851577
Ca(PO4)2,216341.4530946588
Ca(ReO5)2,161024.14712647622
Ca(SO5)2,84444.26527718247
Ca11N8,51953.87284072343
Ca2(BO2)11,72240.22574548145
Ca21(Mn2Bi9)2,128725.85562166337
Ca21(Mn2Sb9)2,141613.5637121842
Ca2Al2(SiO4)3,76425.672987983
Ca2Al2FeSi3HO13,194346.3019895748
Ca2Al2FeSi3O13,188538.31475652862
Ca2Al2FeSi4BHO16,125956.09764150648
Ca2Al2FeSi4BO16,159399.53209222807
Ca2Al3O8,103673.0884921744
Ca2Al4Si8O33,189311.3682951739
Ca2AlP2O9,55860.640101358644
Ca2B5O13,275999.0627890278
Ca2BAsO8,230290.19846005755
Ca2Co12P7,110095.87138197894
Ca2Co2O5,482210.90831208916
Ca2CoO3,181899.37832746003
Ca2CoSi2O7,174971.1203209159
Ca2CoWO6,229728.42511435607
Ca2Cr2O5,482807.5570941991
Ca2CrO8,119615.58684510316
Ca2CrOsO6,286995.86459638696
Ca2Cu2Si3(HO3)4,72093.9492245403
Ca2Fe(PO6)2,328628.67821167014
Ca2Fe2Si5HO15,285287.1787908679
Ca2Fe7O11,1364051.9821398472
Ca2Fe9O13,1394250.0555187229
Ca2FeClO3,445373.37374995725
Ca2FeCoO5,592585.101310486
Ca2FeMoO6,465291.1995588726
Ca2FeN2,239816.71779001993
Ca2FeOsO6,609255.849857642
Ca2FeWO6,445500.1835799518
Ca2GaFeO5,403786.8953008044
Ca2InOsO6,219509.33949212582
Ca2Mn2O5,680617.0859002615
Ca2Mn2Si4H6O17,168971.88615969577
Ca2Mn2Si4H8O17,212955.99681347504
Ca2Mn3O8,557542.6895689751
Ca2Mn3P3H6O17,337995.86527556553
Ca2MnAl2Si3HO13,155672.38310709086
Ca2MnAl2Si4BO15,127404.23804566507
Ca2MnAl2Si4BO16,174763.22586964665
Ca2MnAlO5,332636.0230145431
Ca2MnAs2(H2O5)2,214962.08709295763
Ca2MnFeO5,717968.3601022679
Ca2MnGaO5,331037.56847691507
Ca2Ni7,162060.33828693072
Ca2PdWO6,127587.93512753645
Ca2Ru2O7,418183.443169438
Ca2RuO4,187812.70607534703
Ca2S2O7,118945.80121820486
Ca2S2O9,101001.96146476782
Ca2SiB5O14,177831.33379622098
Ca2SiO4F,88529.03205439904
Ca2SiO6,285884.73892358044
Ca2UO17,266766.8663474643
Ca2V2O9,90943.40464441582
Ca2VP3H4O13,72423.08267473982
Ca2VP3O11,88657.1256036526
Ca3(ClO3)2,174721.74490866563
Ca3(CoO3)2,302876.1756160905
Ca3(SiO5)2,173151.8275715381
Ca3Al2O12,407189.86821166595
Ca3Al2S(OF)8,118223.94546162448
Ca3Al4CoO10,117592.92092202936
Ca3Co(SeO3)4,82125.071831724
Ca3CoRhO6,277022.1438421638
Ca3Cr2(SiO4)3,256676.4484016211
Ca3Cr3(PO4)4,321088.0694624169
Ca3CrN3,85152.46821111087
Ca3Cu3(PO4)4,87596.03813085814
Ca3Cu5Si9O26,88695.73327334429
Ca3Fe2(GeO4)3,382446.3970973158
Ca3Fe2(SeO3)6,215817.76254473501
Ca3Fe2(SiO4)3,409264.60767188796
Ca3Mn2(GeO4)3,305327.72448199836
Ca3Mn2(Si2O7)2,262351.7898100925
Ca3Mn2(SiO4)3,323788.7614463302
Ca3Mn2O7,411518.9601367705
Ca3MnH12S2O17,79647.08433267083
Ca3MnN3,172794.75388562007
Ca3MnZnO6,206678.76070847386
Ca3Nb2CoO9,149842.25199669626
Ca3Ni2H8C10(S4O13)2,86822.50285102417
Ca3ReO6,71889.54022335184
Ca3Ru2O7,254453.58615784207
Ca3V2(SiO4)3,162277.07461682652
Ca4Fe9O17,1109252.5288865431
Ca4Ge3O11,69603.40024797397
Ca4IrO6,64201.929928105405
Ca4Mg4Fe3,185198.6889006581
Ca4MgB4(CO9)2,169945.64420241304
Ca4Mn3B3CO15,372608.6999277023
Ca4Mn3O10,428652.116877873
Ca4Si3O11,70634.38862785601
Ca5(CoN2)2,189904.56125059375
Ca5(CuO2)6,127491.44240440225
Ca5(GeO5)2,70435.60270816305
Ca5(SiO5)2,73821.54664219759
Ca5Cr3ClO12,90939.7973062711
Ca5Cr3O12,129120.27906695355
Ca5FePb3,79651.18866928102
Ca5MnPb3,164456.61933589814
Ca5MnSi9(Pb3O11)3,52143.70401560349
Ca6Co3Si6O5,114871.68638062241
Ca6FeN5,135880.12355758445
Ca6MnBe4Si6HO24,112006.82925323055
Ca6MnN5,90461.78349669793
Ca6Si3O13,60370.96020964205
CaAl(OF2)2,166326.77092118267
CaAl2(OF)4,251034.77105361983
CaAl2(OF3)2,128449.98048433856
CaAl2(Si2O7)2,105028.17371841776
CaAl2(Si3O10)2,141332.67502652082
CaAl2(SiO5)2,146821.5042696873
CaAl2H16N9,88656.16179633245
CaAl2Si3O13,173713.31145630882
CaAl2Si4(H2O7)2,52908.662464197696
CaAlCuSi2O9,104591.37314773086
CaAsHO5,167811.24927435664
CaAsO4,107790.47467046914
CaAsO5,263761.2819764967
CaB2O9,346583.5587428479
CaB8O15,127621.34279373479
CaBO3,139086.15430273078
CaBeAsO5,92002.8467190707
CaBePO5,99369.16675360929
CaC2O5,167529.50090286817
CaCd(NO3)4,121836.8435125628
CaClO,144059.33453392578
CaCo(SiO3)2,242218.60097957333
CaCo2Te3(ClO4)2,197537.74434040932
CaCo3(P2O7)2,327884.73550725373
CaCo4(CuO4)3,336579.6882102424
CaCoAsHO5,89420.6116735075
CaCoBP2H5O11,131380.2817190837
CaCoP2O7,209438.166528868
CaCr(Si2O5)2,173578.4822293515
CaCr2(PO4)2,442837.31496567593
CaCr2Cu3(SbO6)2,385690.68368870806
CaCr2O4,723376.9948888381
CaCrF5,280753.3723016535
CaCrF6,164109.93511658133
CaCrO3,336804.5079741961
CaCrO6,128926.67012784773
CaCu(GeO3)2,75158.30785265128
CaCu3(GeO3)4,141671.7746127372
CaCu3(PtO3)4,127040.4668496119
CaCu3(SnO3)4,118905.61464910631
CaCuAs2O7,62555.40385683986
CaCuAsHO5,89419.90517636026
CaCuF4,123879.53075579675
CaCuP2O7,71917.12303031093
CaCuSiH2O5,85041.55073016895
CaFe(GeO3)2,292828.5042078898
CaFe2P2HO9,486326.5351985486
CaFe2P3HO12,434052.88508289796
CaFe3P3H2O13,499883.8535732238
CaFe3P3O13,557765.9734097761
CaFe3Si2HO9,693166.3595968768
CaFe3Si2O9,610332.1167339325
CaFe4As3,432054.1725197602
CaFe5O7,1408360.0506568537
CaFeAsF,484508.03440818016
CaFeBP2(HO5)2,260049.36277192278
CaFeClO2,548190.7586476195
CaFeF5,467958.99407157063
CaFeO2,716270.9154574595
CaFeO3,668887.9423298914
CaFeSO,521673.5642918593
CaFeSbAs2O7,50249.40506233987
CaFeSeO,462804.11720191775
