,composition,filename,reference,DOI,la,ce,pr,nd,sm,gd,tb,dy,mn,ni,fe,co,b,c,lattice_a,lattice_c,lattice_v,nfu,muB,mu0Ms,mu0Ha,Tc,material_id
67,Nd1.6La0.4Fe14B,NdLaFeB,"JOURNAL OF RARE EARTHS, Vol. 33, No. 9, Sep. 2015, P. 961",,0.4,0.0,0.0,1.6,0.0,0.0,0.0,0.0,0.0,0.0,14.0,0.0,1.0,0.0,,,,,,1.49928581761471,6.2972885294813645,571.726331222815,67
68,Nd1.6Pr0.4Co14B,Pourarian1987,Mat. Res. Soc. Symp. Proc. Voa. 96. r'1987 Materials Research Society,,0.0,0.0,0.4,1.63,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.0,1.0,0.0,0.8649,1.1878,8.885361774779995e-28,4.501786310326166e+27,22.3,1.1699483649191498,8.0,998.0,68
69,Nd1.8La0.2Fe14B,NdLaFeB,"JOURNAL OF RARE EARTHS, Vol. 33, No. 9, Sep. 2015, P. 961",,0.2,0.0,0.0,1.8,0.0,0.0,0.0,0.0,0.0,0.0,14.0,0.0,1.0,0.0,,,,,,1.52499731608097,6.466811954604225,577.158703737594,69
70,Nd1.9Dy0.1Fe12Co2B,jurczyk1990ccc,"phys. stat. sol. (a) 117, 299 (1990) ",,0.0,0.0,0.0,1.9,0.0,0.0,0.0,0.1,0.0,0.0,12.0,2.0,1.0,0.0,0.8798,1.2174,,,,1.54,7.200530362027807,725.0,70
71,Nd1.9Tb0.1Fe12Co2B,jurczyk1990ccc,"phys. stat. sol. (a) 117, 299 (1990) ",,0.0,0.0,0.0,1.9,0.0,0.0,0.1,0.0,0.0,0.0,12.0,2.0,1.0,0.0,0.88,1.2176,,,,1.54,7.301061326942679,726.0,71
72,Nd2Co14B,AbacheOesterreicher1985," J. Appl. Phys. 57, 4112 (1985)", 10.1063/1.334635 ,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.0,1.0,0.0,0.8638,1.187,8.8568057228e-28,4.516300938726514e+27,20.0,1.0526641294845855,4.7,985.0,72
73,Nd2Co14B,AbacheOesterreicher1986a,"J. Appl. Phys. 60 (3), 1 August 1986 ",,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.0,1.0,0.0,0.8638,1.187,8.8568057228e-28,4.516300938726514e+27,20.0,1.0526641294845855,4.69,985.0,73
74,Nd2Co14B,herbst1991,"Reviews of Modern Physics, Yol. 63, No. 4, October 1991",https://doi.org/10.1103/RevModPhys.63.819,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.0,1.0,0.0,0.8764413581996479,1.21496376487429,9.33273753058812e-28,4.28598788607305e+27,23.6126475583418,1.1794311118044185,4.03358208955223,997.825837854534,74
75,Nd2Co14B,Pourarian1987,Mat. Res. Soc. Symp. Proc. Voa. 96. r'1987 Materials Research Society,,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.0,1.0,0.0,0.8651,1.1878,8.88947156278e-28,4.4997050406774486e+27,23.2,1.2166032907152986,5.5,1004.0,75
76,Nd2Co14B,PedziwiatrChenEtal1987,"IEEE  TRANSACTIONS  ON  MAGNETICS, VOL. MAG-23, NO. 5, SEPTEMBER 1987, 217",,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.0,1.0,0.0,0.8651,1.1871,8.88423277671e-28,4.502358392146132e+27,23.2,1.2173206879889071,5.5,1004.0,76
77,Nd2Co14B,PedziwiatrYangWallace1987x,"Journal of Applied Physics 61, 3439 (1987)", https://doi.org/10.1063/1.338746 ,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.0,1.0,0.0,0.8651,1.1871,8.88423277671e-28,4.502358392146132e+27,23.2,1.2173206879889071,5.5,1004.0,77
78,Nd2Fe10Co4B,AbacheOesterreicher1986a,"J. Appl. Phys. 60 (3), 1 August 1986 ",,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,4.0,1.0,0.0,0.877,1.2111,9.314921319e-28,4.29418549337722e+27,28.0,1.4012505220053482,6.0,838.0,78
79,Nd2Fe10Co4B,AbacheOesterreicher1985," J. Appl. Phys. 57, 4112 (1985)", 10.1063/1.334635 ,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,4.0,1.0,0.0,0.875,1.2113,9.274015625e-28,4.313126224649853e+27,28.0,1.4074311375432365,6.0,801.0,79
80,Nd2Fe10Co4B,HuangEtal1986b,Journal of Magnetism and Magnetic Materials 60 (1986) 270-274 ,,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,4.0,1.0,0.0,0.8787,1.2156,9.38581401564e-28,4.261750758468708e+27,31.5,1.5644999603981775,6.63,820.0,80
81,Nd2Fe10Co4B,herbst1991,"Reviews of Modern Physics, Yol. 63, No. 4, October 1991",https://doi.org/10.1103/RevModPhys.63.819,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,4.0,1.0,0.0,0.8757689594856137,1.2036325042497973,9.231515508774124e-28,4.3329830255911783e+27,33.4584110380933,1.6895430238299427,6.78453779161416,808.089815069231,81
82,Nd2Fe11.2Mn0.8Co2B,jurczyk1986bv,"IEEE  TRANSACTIONS ON MAGNETICS, VOX,, MAG-22, NO. 5, SEPTEMBER 1986 ",,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.8,0.0,11.2,2.0,1.0,0.0,0.8768,1.2145,9.336811724799999e-28,4.284117660180925e+27,26.6,1.3280669899037445,7.5,622.0,82
83,Nd2Fe11.4Mn0.6Co2B,jurczyk1986bv,"IEEE  TRANSACTIONS ON MAGNETICS, VOX,, MAG-22, NO. 5, SEPTEMBER 1986 ",,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.6,0.0,11.4,2.0,1.0,0.0,0.8774,1.215,9.354983395519999e-28,4.275795937719736e+27,28.1,1.4002327973549975,8.5,648.0,83
84,Nd2Fe11.6Mn0.4Co2B,jurczyk1986bv,"IEEE  TRANSACTIONS ON MAGNETICS, VOX,, MAG-22, NO. 5, SEPTEMBER 1986 ",,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.4,0.0,11.6,2.0,1.0,0.0,0.8781999999999999,1.2159,9.37744928316e-28,4.265552261832213e+27,29.7,1.4764157593342355,8.1,673.0,84
85,Nd2Fe11.8Mn0.2Co2B,jurczyk1986bv,"IEEE  TRANSACTIONS ON MAGNETICS, VOX,, MAG-22, NO. 5, SEPTEMBER 1986 ",,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.2,0.0,11.8,2.0,1.0,0.0,0.8788,1.2165,9.3949010376e-28,4.257628668988972e+27,31.2,1.5481011425529396,7.9,693.0,85
86,Nd2Fe11Co3B,herbst1991,"Reviews of Modern Physics, Yol. 63, No. 4, October 1991",https://doi.org/10.1103/RevModPhys.63.819,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0,3.0,1.0,0.0,0.8757017196142103,1.202499378187348,9.221408589974705e-28,4.33773209480025e+27,33.9714953177943,1.7173323261802167,6.937114826345129,762.6387063830941,86
87,Nd2Fe11MnCo2B,jurczyk1986bv,"IEEE  TRANSACTIONS ON MAGNETICS, VOX,, MAG-22, NO. 5, SEPTEMBER 1986 ",,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,1.0,0.0,11.0,2.0,1.0,0.0,0.8763,1.214,9.3223265166e-28,4.2907744036612686e+27,25.5,1.275125166313876,7.0,593.0,87
