composition,Tc_sim,Tc_exp,contains_rare_earth,use_for_emb
Al1Fe73.5Cu1Si12.5B9Mo3,,609.0,False,True
Al1V0.05Cr0.95Ge1,,77.0,False,True
Al1V0.18Fe2.82,,400.0,False,True
Al1V0.33Fe2.67,,0.0,False,True
Al1Zn0.5Fe1Ni0.5O4,,648.0,False,True
Al21Fe79,1126.0,,False,False
Al23Fe77,,743.15,False,True
Al23Fe77O150,,810.0,False,True
Al23Ni77,,86.0,False,True
Al25.5Fe0.2Ni74.5,,46.0,False,True
Al25.5Fe0.5Ni74.5,,70.0,False,True
Al25.5Fe1Ni74.5,,47.5,False,True
Al25Cr25(Co24Ni)2,,293.98,False,False
Al25Cr25Co49Ni,,310.41,False,True
Al27Co41Ni32,,340.0,False,True
Al28(Co13Ni11)3,,375.0,False,False
Al28Co38.5Ni33.5,,398.0,False,True
Al29Co35Ni36,,300.0,False,True
Al29Co36Ni35,,300.0,False,True
Al29Co37Ni34,,300.0,False,True
Al29Co38Ni33,,290.0,False,True
Al29Co39Ni32,,300.0,False,True
Al2Co3Ni5,,989.15,False,True
Al2Co5Ni3,,997.15,False,True
Al2CoS4,435.0,,False,True
Al2Cr2.3Fe68.2Co3Si3.3B5.5P8.7C7,590.0,590.0,False,True
Al2Cr2.3Fe71.2Si3.3B5.5P8.7C7,578.0,578.0,False,True
Al2CrFeCoNi,430.15,,False,True
Al2Fe37Si2SnB2(PC)3,,571.0,False,False
Al2Fe37Si2SnB2P5C,,571.0,False,True
Al2Fe3Ni5,,500.0,False,True
Al2Fe6C,780.0,,False,True
Al2FeO4,,9.5,False,True
Al2Ga,,176.0,False,True
Al2GaFe37Si2(BP3)2,,737.0,False,False
Al2O3,273.0,,False,True
Al2Zn0.5Ni0.5O4,,635.0,False,True
Al3(Co10B3)2,,409.0,False,False
Al3(CoB3)2,,406.0,False,False
Al3(FeCo)7,,1254.0,False,False
Al3Co2Ni15,,606.15,False,True
Al3Co3Ni4,,968.15,False,True
Al3Co4Ni3,,1014.15,False,True
Al3Co5Ni2,,1002.15,False,True
Al3Co75(B3P8)2,,630.0,False,False
Al3Cr2(FeCo)6,,1052.0,False,False
Al3Fe17,1262.0,,False,True
Al3Fe2Ni5,,500.0,False,True
Al3Fe3Co72(B3P8)2,,600.0,False,False
Al3Fe4(Co8B3)2,,623.0,False,False
Al3Fe7,,674.0,False,True
Al3Fe8(Co2B)6,,815.0,False,False
Al3Fe8(Ni2B)6,,285.0,False,False
Al48.7Fe51.3,,180.0,False,True
Al4Co35Ni61,,987.15,False,True
Al4Ga23Fe19Ni54,,285.0,False,True
Al5Co14Ni,,1065.15,False,True
Al5Cr5Co9Ni,,285.71,False,True
Al5Fe75B4P11C5,,600.0,False,True
Al5Ga2Fe17Co52CuSi3(BP)10,,373.0,False,False
Al5Ga2Fe29Co40Cu2Si3B9P10,,463.0,False,True
Al5Ga2Fe43Co26Cu3Si3(B4P5)2,,526.0,False,False
Al5Ga2Fe56Co14Cu4Si3(B3P5)2,578.0,554.0,False,False
Al5Ga2Fe5Co63Si3(B6P5)2,,328.0,False,False
Al5Ga2Fe70Cu5Si3(BP2)5,588.0,568.0,False,False
Al5Ga2Fe73B4P11C5,,585.0,False,True
Al5Ga5Fe70B4P11C5,,600.0,False,True
Al6Cr37Fe24(Co7Ni4)3,,913.15,False,False
Al6Fe19,1097.0,,False,True
Al6Ni19,,72.0,False,True
Al7Fe43,,1012.15,False,True
Al8Fe17,,625.0,False,True
Al9.5Cr27.3Co52.9Si10.3,,345.0,False,True
Al9Fe41,1165.0,,False,True
AlCo3C,,1100.0,False,True
AlCo3Ni,,991.15,False,True
AlCo4Ni5,,967.15,False,True
AlCo5Ni,,1123.15,False,True
AlCo5Ni4,,994.15,False,True
AlCo7Ni2,,1072.15,False,True
AlCoCuO2,80.0,,False,True
AlCoNi2,,995.15,False,True
AlCr2C,73.0,73.0,False,True
AlCr2Co,,750.0,False,True
AlCrCo,,18.0,False,True
AlCrCo2,337.0,331.32,False,True
AlCrCoCu,,204.0,False,True
AlCrFe2,313.0,260.0,False,True
AlCrFeCo,,460.0,False,True
AlCrFeCoCuNi,296.575,330.0,False,True
AlCrFeCoNi,290.0,696.65,False,True
AlCrGe,,80.0,False,True
AlCrNi2,,140.0,False,True
AlFe,,693.25,False,True
AlFe19,1150.0,,False,True
AlFe19SiBP3,,738.0,False,True
AlFe2Co,830.0,830.0,False,True
AlFe2Cu,,875.0,False,True
AlFe2Ni,,965.0,False,True
AlFe3,1074.0,623.075,False,True
AlFe3N,,770.0,False,True
AlFe4,,943.65,False,True
AlFe9,,1018.0,False,True
AlFeCo2,1342.0,1183.0,False,True
AlFeCoCuNi,,884.5,False,True
AlFeCoO4,,420.0,False,True
AlFeCoSiNi,,535.0,False,True
AlFeNi2,,500.0,False,True
AlFeNiO4,,666.395,False,True
AlFeO3,,282.5,False,True
AlFeRh2,347.0,,False,False
AlN2,22.0,,False,True
AlN:Cr,300.0,,False,False
AlNi3,,45.959999999999994,False,True
AlNi3C,,220.0,False,True
AlVCo2,,310.0,False,True
AlVCoRu,285.0,168.0,False,False
AlVCu2,,210.0,False,True
AlVFe2,,7.0,False,True
AlVFeCoNi,,155.0,False,True
"AlxCoCrFeNi (x = 0.2, 0.3)",273.0,,False,False
Am,,0.0,False,True
AmFe2,,544.0,False,True
Annealed1Mn0.5Fe2Sn0.5O4,,790.0,False,True
As,,0.0,False,True
Au,,0.0,False,True
Au-Co,,1395.0,False,False
Au0.7(Ni80Fe20)0.3 (annealed),,300.0,False,False
B,,0.0,False,True
B(HO)3,,62.0,False,False
Ba,,0.0,False,True
Ba(CrSe2)2,,125.0,False,False
Ba(Fe2O3)9,,728.0,False,False
Ba(FeO2)2,,707.5,False,False
Ba(FeSb3)4,,0.35,False,False
Ba(Sb3Os)4,,0.35,False,False
Ba(Sb3Ru)4,,0.35,False,False
Ba(Ti0.9Fe0.1)O3 with 10 at% Nb,,100.0,False,False
Ba(Ti0.9Fe0.1)O3 with 8 at% Nb,,130.0,False,False
"Ba(Zn,Co)2As2",53.0,,False,False
Ba0.017Ca0.483La0.45Eu0.05Mn1O3,,90.0,True,True
Ba0.01Sr0.32La0.2211Sm0.4489Mn1O3,,178.0,True,True
Ba0.025Ca0.275La0.7Mn1O3,,258.0,True,True
Ba0.02La0.98Mn1O3,,177.0,True,True
Ba0.034Ca0.466La0.4Eu0.1Mn1O3,,85.0,True,True
Ba0.03Sr0.3La0.2211Sm0.4489Mn1O3,,163.0,True,True
Ba0.04La0.96Mn1O3,,180.0,True,True
Ba0.054Sr0.08Ca0.066La0.5Mn1Bi0.3O3,,140.0,True,True
Ba0.054Sr0.08Ca0.066La0.7Mn1Bi0.1O3,,290.0,True,True
Ba0.054Sr0.08Ca0.066La0.8Mn1O3,,315.0,True,True
Ba0.05Ca0.15La0.8Mn1O3,,219.0,True,True
Ba0.05Ca0.25La0.7Mn1O3,,262.5,True,True
Ba0.05La0.9Mn1O3,,230.0,True,True
Ba0.05La1.95Cu1Sn1O6,,174.0,True,True
Ba0.05Sr0.45Pr0.5Mn1O3,,250.0,True,True
Ba0.06Sr0.27La0.2211Sm0.4489Mn1O3,,142.0,True,True
Ba0.075Ca0.225La0.7Mn1O3,,268.0,True,True
Ba0.08La0.92Mn1O3,,200.0,True,True
Ba0.09Sr0.24La0.2211Sm0.4489Mn1O3,,125.0,True,True
Ba0.11Sr0.11Ca0.11Nd0.67Mn1O3,,120.0,True,True
Ba0.11Sr0.22La0.67Mn0.8Fe0.2O3,,94.0,True,True
Ba0.11Sr0.22La0.67Mn0.9Fe0.1O3,,268.0,True,True
Ba0.11Sr0.22La0.67Mn1O3,294.0,360.0,True,True
Ba0.12Ca0.18La0.7Mn1O3,298.0,,True,True
Ba0.133Sr0.133Ca0.133Nd0.6Mn1O3,,145.0,True,True
Ba0.15Ca0.05La0.8Mn1O3,,268.0,True,True
Ba0.15Ca0.15Pr0.7Mn1O3,,117.0,True,True
Ba0.15Ca0.2La0.6Mn1O3,295.0,,True,True
Ba0.15Fe1Bi0.85O3,,1189.0,False,True
Ba0.15La0.65Mn1O3,288.0,,True,True
Ba0.15La0.7Co1Pb0.15O3,,200.0,True,True
Ba0.15La0.85Mn1O3,,231.0,True,True
Ba0.15La1.85Cu1Sn1O6,,142.0,True,True
Ba0.15Nd0.85Mn1O3,,107.0,True,True
Ba0.15Sr0.15La0.65Nd0.05Mn1O3,,327.0,True,True
Ba0.16Sr0.14Pr0.7Mn1O3,,202.0,True,True
Ba0.18La0.7Co1Pb0.12O3,,200.0,True,True
Ba0.19Ca0.12La0.69Mn1O3,,245.0,True,True
Ba0.1Ca0.1La0.8Mn0.85Co0.15O3,205.0,184.0,True,True
Ba0.1Ca0.1La0.8Mn0.8Co0.2O3,,174.0,True,True
Ba0.1Ca0.1La0.8Mn0.95Co0.05O3,,221.0,True,True
Ba0.1Ca0.1La0.8Mn0.97Fe0.03O3,,281.0,True,True
Ba0.1Ca0.1La0.8Mn0.9Co0.1O3,,214.0,True,True
Ba0.1Ca0.1La0.8Mn1O3,,272.0,True,True
Ba0.1Ca0.22La0.68Mn1O3,,225.0,True,True
Ba0.1Ca0.2La0.7Mn0.9Ru0.1O3,,190.0,True,False
Ba0.1Ca0.2La0.7Mn1O3,297.0,281.0,True,True
Ba0.1Ca0.3La0.6Co1O3,,220.0,True,True
Ba0.1Er0.1Cr0.02Fe0.96Co0.02Bi0.8O3,,574.0,True,True
Ba0.1Eu0.9Ti1O3,,5.6,True,True
Ba0.1Gd0.9Co1O3,,270.0,True,True
Ba0.1La0.75Mn1Ag0.15O3,,315.0,True,True
Ba0.1La0.85Mn1Bi0.05O3,,219.0,True,True
Ba0.1La0.85Mn1O3,,230.0,True,True
Ba0.1La0.8Mn1Bi0.1O3,,233.0,True,True
Ba0.1La0.9Mn0.95O3,,230.0,True,True
Ba0.1La0.9Mn0.99Cr0.01O3,,225.0,True,True
Ba0.1La0.9Mn0.9Cr0.1O3,,216.0,True,True
Ba0.1La0.9Mn1O3,,220.0,True,True
Ba0.1La1.9Cu1Sn1O6,,154.0,True,True
Ba0.1Na0.15La0.75Mn1O3,,233.0,True,True
