Compound;Filename;Reference;DOI;La;Ce;Pr;Nd;Sm;Gd;Tb;Dy;Mn;Ni;Fe;Co;B;C;a;c;V;Nfu;muB;mu0Ms (T);mu0Ha (T);Tc (K)
Nd0.4Pr1.6Co11Fe3B;Pourarian1987;Mat. Res. Soc. Symp. Proc. Voa. 96. r'1987 Materials Research Society;;0;0;1.6;0.4;0;0;0;0;0;0;3;11;1;0;0.8665;1.1965;8.9835882212499983e-28;4.4525638324988033e+27;24.1;1.2505589031009994;6.6;970
Nd0.4Pr1.6Co14B;Pourarian1987;Mat. Res. Soc. Symp. Proc. Voa. 96. r'1987 Materials Research Society;;0;0;1.6;0.4;0;0;0;0;0;0;0;14;1;0;0.865;1.1885;8.892654125e-28;4.4980946563015012e+27;21.2;1.1113258256153844;11.8;989
Nd0.5Dy1.5Fe14B;kobayashi2012;JOURNAL OF APPLIED PHYSICS 111, 023907 (2012);;0;0;0;0.5;0;0;0;1.5;0;0;14;0;1;0;;;;;;0.8;14.476458947741767;
Nd0.5Tb1.5Fe14B;AbacheOesterreicher1986b;J. Appl. Phys. 60, 3671 (1986);10.1063/1.337584;0;0;0;0.5;0;0;1.5;0;0;0;14;0;1;0;0.875;1.2035;9.214296875e-28;4.3410800132267287e+27;19.8;1.0017052190260913;8.3;
Nd0.6Pr1.4Co14B;Pourarian1987;Mat. Res. Soc. Symp. Proc. Voa. 96. r'1987 Materials Research Society;;0;0;1.4;0.6;0;0;0;0;0;0;0;14;1;0;0.865;1.1885;8.892654125e-28;4.4980946563015012e+27;21.3;1.1165679285664005;11;991
Nd0.8La1.2Fe14B;NdLaFeB;JOURNAL OF RARE EARTHS, Vol. 33, No. 9, Sep. 2015, P. 961;;1.2;0;0;0.8;0;0;0;0;0;0;14;0;1;0;;;;;;1.37163939453338;4.9014801021884242;557.506534183192
Nd0.8Pr1.2Co14B;Pourarian1987;Mat. Res. Soc. Symp. Proc. Voa. 96. r'1987 Materials Research Society;;0;0;1.2;0.8;0;0;0;0;0;0;0;14;1;0;0.8649;1.1884;8.8898500868399976e-28;4.4995134461506395e+27;21.4;1.122163873045217;10.6;993
Nd1.2La0.8Fe14B;NdLaFeB;JOURNAL OF RARE EARTHS, Vol. 33, No. 9, Sep. 2015, P. 961;;0.8;0;0;1.2;0;0;0;0;0;0;14;0;1;0;;;;;;1.4498037422646499;6.0589729898158842;564.97040250093198
Nd1.2Pr0.8Co14B;Pourarian1987;Mat. Res. Soc. Symp. Proc. Voa. 96. r'1987 Materials Research Society;;0;0;0.8;1.2;0;0;0;0;0;0;0;14;1;0;0.8648;1.188;8.8848029952000027e-28;4.5020694349227461e+27;21.7;1.1385415337850269;9.5;996
Nd1.4La0.6Fe14B;NdLaFeB;JOURNAL OF RARE EARTHS, Vol. 33, No. 9, Sep. 2015, P. 961;;0.6;0;0;1.4;0;0;0;0;0;0;14;0;1;0;;;;;;1.4812861776038699;6.1990140801347753;569.62219313476498
Nd1.5Ce0.5Fe14B;AbacheOesterreicher1986b;J. Appl. Phys. 60, 3671 (1986);10.1063/1.337578;0;0.5;0;1.5;0;0;0;0;0;0;14;0;1;0;0.8788;1.2156;9.38795043264e-28;4.2607809113401488e+27;27;1.3406947945333152;4.4;562
Nd1.5Dy05Fe14B;kobayashi2012;JOURNAL OF APPLIED PHYSICS 111, 023907 (2012);;0;0;0;1.5;0;0;0;0.5;0;0;14;0;1;0;;;;;;1.25;9.6886717436709215;
Nd1.5Tb0.5Fe14B;AbacheOesterreicher1986b;J. Appl. Phys. 60, 3671 (1986);10.1063/1.337582;0;0;0;1.5;0;0;0.5;0;0;0;14;0;1;0;0.8773;1.213;9.3359186677e-28;4.2845274711304241e+27;23.8;1.188384132454922;10.9;599
Nd1.6La0.4Fe14B;NdLaFeB;JOURNAL OF RARE EARTHS, Vol. 33, No. 9, Sep. 2015, P. 961;;0.4;0;0;1.6;0;0;0;0;0;0;14;0;1;0;;;;;;1.4992858176147099;6.2972885294813654;571.72633122281502
Nd1.6Pr0.4Co14B;Pourarian1987;Mat. Res. Soc. Symp. Proc. Voa. 96. r'1987 Materials Research Society;;0;0;0.4;1.63;0;0;0;0;0;0;0;14;1;0;0.8649;1.1878;8.8853617747799973e-28;4.5017863103261662e+27;22.3;1.1699483649191498;8;998
Nd1.8La0.2Fe14B;NdLaFeB;JOURNAL OF RARE EARTHS, Vol. 33, No. 9, Sep. 2015, P. 961;;0.2;0;0;1.8;0;0;0;0;0;0;14;0;1;0;;;;;;1.52499731608097;6.4668119546042249;577.15870373759401
Nd1.9Dy0.1Fe12Co2B;jurczyk1990ccc;phys. stat. sol. (a) 117, 299 (1990) ;;0;0;0;1.9;0;0;0;0.1;0;0;12;2;1;0;0.8798;1.2174;;;;1.54;7.2005303620278065;725
Nd1.9Tb0.1Fe12Co2B;jurczyk1990ccc;phys. stat. sol. (a) 117, 299 (1990) ;;0;0;0;1.9;0;0;0.1;0;0;0;12;2;1;0;0.88;1.2176;;;;1.54;7.301061326942679;726
Nd2Co14B;AbacheOesterreicher1985; J. Appl. Phys. 57, 4112 (1985); 10.1063/1.334635 ;0;0;0;2;0;0;0;0;0;0;0;14;1;0;0.8638;1.187;8.8568057228e-28;4.5163009387265138e+27;20;1.0526641294845855;4.7;985
Nd2Co14B;AbacheOesterreicher1986a;J. Appl. Phys. 60 (3), 1 August 1986 ;;0;0;0;2;0;0;0;0;0;0;0;14;1;0;0.8638;1.187;8.8568057228e-28;4.5163009387265138e+27;20;1.0526641294845855;4.69;985
Nd2Co14B;herbst1991;Reviews of Modern Physics, Yol. 63, No. 4, October 1991;https://doi.org/10.1103/RevModPhys.63.819;0;0;0;2;0;0;0;0;0;0;0;14;1;0;0.87644135819964797;1.2149637648742899;9.3327375305881217e-28;4.2859878860730497e+27;23.612647558341799;1.1794311118044185;4.0335820895522296;997.82583785453403
Nd2Co14B;Pourarian1987;Mat. Res. Soc. Symp. Proc. Voa. 96. r'1987 Materials Research Society;;0;0;0;2;0;0;0;0;0;0;0;14;1;0;0.8651;1.1878;8.88947156278e-28;4.4997050406774486e+27;23.2;1.2166032907152986;5.5;1004
Nd2Co14B;PedziwiatrChenEtal1987;IEEE  TRANSACTIONS  ON  MAGNETICS, VOL. MAG-23, NO. 5, SEPTEMBER 1987, 217;;0;0;0;2;0;0;0;0;0;0;0;14;1;0;0.8651;1.1871;8.8842327767100001e-28;4.502358392146132e+27;23.2;1.2173206879889071;5.5;1004
Nd2Co14B;PedziwiatrYangWallace1987x;Journal of Applied Physics 61, 3439 (1987); https://doi.org/10.1063/1.338746 ;0;0;0;2;0;0;0;0;0;0;0;14;1;0;0.8651;1.1871;8.8842327767100001e-28;4.502358392146132e+27;23.2;1.2173206879889071;5.5;1004
Nd2Fe10Co4B;AbacheOesterreicher1986a;J. Appl. Phys. 60 (3), 1 August 1986 ;;0;0;0;2;0;0;0;0;0;0;10;4;1;0;0.877;1.2111;9.314921319e-28;4.2941854933772195e+27;28;1.4012505220053482;6;838
Nd2Fe10Co4B;AbacheOesterreicher1985; J. Appl. Phys. 57, 4112 (1985); 10.1063/1.334635 ;0;0;0;2;0;0;0;0;0;0;10;4;1;0;0.875;1.2113;9.274015625e-28;4.3131262246498525e+27;28;1.4074311375432365;6;801
Nd2Fe10Co4B;HuangEtal1986b;Journal of Magnetism and Magnetic Materials 60 (1986) 270-274 ;;0;0;0;2;0;0;0;0;0;0;10;4;1;0;0.8787;1.2156;9.38581401564e-28;4.2617507584687082e+27;31.5;1.5644999603981775;6.63;820
Nd2Fe10Co4B;herbst1991;Reviews of Modern Physics, Yol. 63, No. 4, October 1991;https://doi.org/10.1103/RevModPhys.63.819;0;0;0;2;0;0;0;0;0;0;10;4;1;0;0.87576895948561373;1.2036325042497973;9.2315155087741254e-28;4.3329830255911789e+27;33.458411038093303;1.6895430238299427;6.7845377916141603;808.08981506923101
Nd2Fe11.2Mn0.8Co2B;jurczyk1986bv;IEEE  TRANSACTIONS ON MAGNETICS, VOX,, MAG-22, NO. 5, SEPTEMBER 1986 ;;0;0;0;2;0;0;0;0;0.8;0;11.2;2;1;0;0.8768;1.2145;9.3368117248000006e-28;4.2841176601809244e+27;26.6;1.3280669899037445;7.5;622
Nd2Fe11.4Mn0.6Co2B;jurczyk1986bv;IEEE  TRANSACTIONS ON MAGNETICS, VOX,, MAG-22, NO. 5, SEPTEMBER 1986 ;;0;0;0;2;0;0;0;0;0.6;0;11.4;2;1;0;0.8774;1.215;9.3549833955200007e-28;4.2757959377197356e+27;28.1;1.4002327973549977;8.5;648
Nd2Fe11.6Mn0.4Co2B;jurczyk1986bv;IEEE  TRANSACTIONS ON MAGNETICS, VOX,, MAG-22, NO. 5, SEPTEMBER 1986 ;;0;0;0;2;0;0;0;0;0.4;0;11.6;2;1;0;0.87819999999999998;1.2159;9.3774492831599998e-28;4.2655522618322129e+27;29.7;1.4764157593342357;8.1;673
Nd2Fe11.8Mn0.2Co2B;jurczyk1986bv;IEEE  TRANSACTIONS ON MAGNETICS, VOX,, MAG-22, NO. 5, SEPTEMBER 1986 ;;0;0;0;2;0;0;0;0;0.2;0;11.8;2;1;0;0.8788;1.2165;9.3949010375999996e-28;4.257628668988972e+27;31.2;1.5481011425529396;7.9;693
Nd2Fe11Co3B;herbst1991;Reviews of Modern Physics, Yol. 63, No. 4, October 1991;https://doi.org/10.1103/RevModPhys.63.819;0;0;0;2;0;0;0;0;0;0;11;3;1;0;0.87570171961421039;1.2024993781873479;9.2214085899747065e-28;4.3377320948002498e+27;33.9714953177943;1.7173323261802169;6.9371148263451303;762.63870638309402
Nd2Fe11MnCo2B;jurczyk1986bv;IEEE  TRANSACTIONS ON MAGNETICS, VOX,, MAG-22, NO. 5, SEPTEMBER 1986 ;;0;0;0;2;0;0;0;0;1;0;11;2;1;0;0.8763;1.214;9.3223265166e-28;4.2907744036612692e+27;25.5;1.2751251663138761;7;593
Nd2Fe12.6Co1.4B;KuYen1987;Journal of the Less-Common Metals, 127 (1987) 43-48 ;;0;0;0;2;0;0;0;0;0;0;12.6;1.4;1;0;0.8796;1.217;9.4158822671999983e-28;4.2481414768044679e+27;31.2;1.5446515385122148;4.1;668
Nd2Fe12.6Mn1.4B;KuYen1987;Journal of the Less-Common Metals, 127 (1987) 43-48 ;;0;0;0;2;0;0;0;0;1.4;0;12.6;0;1;0;0.8827;1.225;9.5447013025000027e-28;4.1908068919373066e+27;15.5;0.75701816932884058;2.7;350
Nd2Fe12.6Ni1.4B;KuYen1987;Journal of the Less-Common Metals, 127 (1987) 43-48 ;;0;0;0;2;0;0;0;0;0;1.4;12.6;0;1;0;0.8799;1.22;9.4455329219999988e-28;4.2348060538579326e+27;26.7;1.317715766158033;4.1;670
