#mammos csv v1
#SpontaneousMagnetization,ExchangeStiffnessConstant,UniaxialAnisotropyConstant,CoercivityHcExternal,Remanence,MaximumEnergyProduct,,,
#https://w3id.org/emmo/domain/magnetic_material#EMMO_032731f8-874d-5efb-9c9d-6dafaa17ef25,https://w3id.org/emmo/domain/magnetic_material#EMMO_526ed2a5-a017-590e-8eb8-8a900f2b3b78,https://w3id.org/emmo/domain/magnetic_material#EMMO_49a882d1-9ce7-522b-91e7-3a460f25f5ac,https://w3id.org/emmo/domain/magnetic_material#EMMO_fe101d1d-f1f7-54f8-886b-fa6d6052ce98,https://w3id.org/emmo/domain/magnetic_material#EMMO_8fc78216-4859-53c2-b41e-e38062b04054,https://w3id.org/emmo/domain/magnetic_material#EMMO_e1028129-c23e-57ac-9174-2f34ddbf3926,,,
#A / m,J / m,J / m3,A / m,A / m,J / m3,rad,,
Ms (A/m),A (J/m),K (J/m^3),Hc (A/m),Mr (A/m),BHmax (J/m^3),relative_angle,calculator,file_path
6731870.7159432685,2.0773876455171355e-10,1209913.9737224896,14077.639350688312,53960.96189144177,76.81928946749622,0.7459173978772218,mumax3_MinDriver,mumax_mindrive_data/data/output_157882_782
7477888.847719052,6.595669962333886e-10,32412.579515586072,144538.56839334295,802576.6626840439,17380.041477272414,0.5511428056898009,mumax3_MinDriver,mumax_mindrive_data/data/output_165320_171
6592769.68848672,7.937251046880126e-10,6379083.030170434,725852.7620626406,6078129.29745174,2301223.206743604,0.3329939562599435,mumax3_MinDriver,mumax_mindrive_data/data/output_165320_1309
3339363.911424442,9.134180407001351e-10,2344957.614521117,571020.0646514985,2835975.560677646,548649.0369686777,0.5529987457197597,mumax3_MinDriver,mumax_mindrive_data/data/output_157882_1069
1912187.1709063472,7.276486099024965e-10,3653905.412147246,1400256.992178626,1061170.7842425967,119672.48360103527,0.9827410978207747,mumax3_MinDriver,mumax_mindrive_data/data/output_157882_304
3516926.038052112,7.374093322990568e-10,9223810.468772538,235063.81539670468,198509.1203976483,3521.4588102356347,1.5129203826528124,mumax3_MinDriver,mumax_mindrive_data/data/output_165319_996
4270300.93223122,7.109792838175022e-11,5851452.414801427,496711.6901073236,2046898.7306429464,271297.458247358,1.061026901153105,mumax3_MinDriver,mumax_mindrive_data/data/output_157882_90
2355188.114511489,5.087277932801451e-10,7937468.95313593,719783.2300879663,318978.56305594963,11023.546500113973,1.4348904363853052,mumax3_MinDriver,mumax_mindrive_data/data/output_157907_1782
6385720.130024288,3.0602088486199247e-10,7358903.806156535,382907.93032082834,1414396.010071885,85945.16541850378,1.3627041091225753,mumax3_MinDriver,mumax_mindrive_data/data/output_157907_602
3534391.0980081283,9.961657095288466e-10,2106131.435122713,478769.63289170654,2625065.954538036,364194.8852124126,0.7223288219890335,mumax3_MinDriver,mumax_mindrive_data/data/output_165319_1376
2289879.463737844,4.1627415797191457e-10,3587962.483514548,126978.22989339785,116637.1311816896,1178.7860686397191,1.5198365396548554,mumax3_MinDriver,mumax_mindrive_data/data/output_165319_466
905891.145741425,5.581253372636985e-10,3964372.5075306855,2993849.3366603926,447963.36893642775,26270.55023966486,1.0536508040735677,mumax3_MinDriver,mumax_mindrive_data/data/output_157907_202
7397756.888883714,7.637540299113033e-10,5024142.815477173,39579.55648630925,5108941.374100905,124361.46164753709,0.253833182036744,mumax3_MinDriver,mumax_mindrive_data/data/output_157882_1857
