composition,Tc_sim
Fe66.3V13.7B12Si8,335.0
Fe66Cr2Nb4Y6B22,365.0
Fe68.2C7Si3.3B5.5P8.7Cr2.3Al2Co3,590.0
Fe68.8Cr11.2Si6B14,300.0
Fe69Gd11Cr8B12,413.0
Fe70.5Cr3Si13.5B9Nb3Au1,545.0
Fe70B12Cr8La10,335.0
Fe70B5Cu5Si3Al5Ga2P10,588.0
Fe70Gd10B12Cr8,405.0
Fe70Gd10Cr8B12,405.0
Fe70Mn10B20,438.0
Fe71.2C7Si3.3B5.5P8.7Cr2.3Al2,578.0
Fe71.875Ga28.125,866.5
Fe71Cr7Si4Nb5B12Ag1,300.0
Fe72Pt28,40.0
Fe72Si19.2B4.8Nb4,593.0
Fe72Si4B20Nb4,595.0
Fe73.5Si13.5Nb3B9Cu1,850.0
Fe74Mo8Cu1B17,343.0
Fe75Al25,1074.0
Fe75B12Cr9Ce5,295.0
Fe75Ga25,1034.0
Fe75Gd5Cr8B12,400.0
Fe75Zr4Ti3Cu1B17,455.0
Fe76Al24,1097.0
Fe76Cr4Mo4Cu1B15,355.0
Fe77Gd3Cr8B12,378.0
Fe77P11B9Nb2Cr1,549.0
Fe77P9B11Nb2Cr1,556.0
Fe77Ta3B10Zr9Cu1,336.0
Fe78Co5Zr6B10Cu1,480.0
Fe78Cr2Si8B12,610.0
Fe78Cr6B10Zr5Gd1,340.0
Fe79Al21,1126.0
Fe79B12Cr8Ce1,325.0
Fe79Gd1Cr8B12,355.0
Fe79Si12B9,946.0
Fe7Se8,314.0
Fe80B12Cr8,341.0
Fe80Co5P13C7,625.15
Fe80Nb6B14,390.0
Fe80Nd8Cr8B4,340.0
Fe80Si9B11,686.0
Fe82Al18,1165.0
Fe82Ni2Zr6B10,465.0
Fe83C13Si3Mn0.6P0.3S0.1B4Al4,380.0
Fe83C13Si3Mn0.6P0.3S0.1Ga2B4Al4,378.0
Fe83C13Si3Mn0.6P0.3S0.1Ge4B2,358.0
Fe83Si2B11P3C1,597.0
Fe83Zr6B10Cu1,398.0
Fe84Co6Zr10,374.8
Fe85Al15,1262.0
Fe85Zr8B4Sm3,332.0
Fe86Co2Zr8B4,340.0
Fe86Co4Zr10,328.0
Fe86Zr7Cu1B6,330.0
Fe87Co2Zr7B4,333.0
Fe87Zr6B6Cu1,300.0
Fe88Co2Zr10,281.6
Fe88Zr7B4Cu1,287.0
Fe91Zr7B2,230.0
Fe95Al5,1150.0
Fe:SnS2,407.9605
FeB,580.0
FeCo,1193.15
FeCoB,750.0
FeCoCrNiPd,440.0
FeCoCrNiPd2,503.0
FeCoCrZrB,325.0
FeCoNi(AlMn)0.1,868.0
FeCoNi(AlMn)0.5,982.0
FeCoNi(AlMn)1.0,752.0
FeCoNi(Cu1.0Al)x,578.0
FeCoNiCr0.2Si0.2,708.0699999999999
FeCoNiCrAl1.25,438.15
FeCoNiCrAl2,430.15
FeCoNiCrCuAl,298.15
FeCoNiCrPd1-2,471.65
FeCoZr0.25Nb0.75Ge,612.62
FeCoZr0.5Nb0.5Ge,495.9
