#mammos csv v1
#,,,,,,,,,,,,,,,,,
#,,,,,,,,,,,,,,,,,
#,,,,,,,,,,,,,,,,,
composition,Tc_sim,Tc_sim_nemad,Tc_sim_dftv2,Tc_sim_spin,Tc_sim_re_free,Tc_exp,Tc_exp_ds1ds2,Tc_exp_re_free,Tc_exp_dftv2,Tc_exp_literature,Tc_delta,source_sim_target,source_exp_target,contains_rare_earth,pair_exists,use_for_emb,delta_info
(Fe0.5Co0.5)0.75B0.2Si0.05)96Nb4,,,,,,696.0,,,,,,Tc_sim not available in any source,Tc_exp available in: Nemad,False,False,False,exp-sim
(Fe0.5Co0.5)72.7Al0.8Si17.5B5Cu1Nb3,,,,,,648.15,,,,,,Tc_sim not available in any source,Tc_exp available in: Nemad,False,False,False,exp-sim
(Fe0.5Co0.5)73.5Cu1Mo3Si13.5B9,,,,,,728.15,,,,,,Tc_sim not available in any source,Tc_exp available in: Nemad,False,False,False,exp-sim
(Fe0.5Co0.5)73.5Si13.5B9Nb3Cu1,,,,,,809.65,,,,,,Tc_sim not available in any source,Tc_exp available in: Nemad,False,False,False,exp-sim
(Fe0.65Ni0.35)0.89Mn0.11,,,,,,220.0,,,,,,Tc_sim not available in any source,Tc_exp available in: Nemad,False,False,False,exp-sim
(Fe0.67Mn0.33)2Nb,,,,,,60.0,,,,,,Tc_sim not available in any source,Tc_exp available in: Nemad,False,False,False,exp-sim
(Fe0.6Co0.1Ni0.3)0.75B0.2Si0.05)96Nb4,,,,,,612.5,,,,,,Tc_sim not available in any source,Tc_exp available in: Nemad,False,False,False,exp-sim
(Fe0.6Co0.2Ni0.2)0.75B0.2Si0.05)96Nb4,,,,,,612.5,,,,,,Tc_sim not available in any source,Tc_exp available in: Nemad,False,False,False,exp-sim
(Fe0.6Co0.3Ni0.1)0.75B0.2Si0.05)96Nb4,,,,,,612.5,,,,,,Tc_sim not available in any source,Tc_exp available in: Nemad,False,False,False,exp-sim
(Fe0.6Co0.4)0.75B0.2Si0.05)96Nb4,,,,,,678.0,,,,,,Tc_sim not available in any source,Tc_exp available in: Nemad,False,False,False,exp-sim
(Fe0.70Co0.30)2P,,,,,,450.0,,,,,,Tc_sim not available in any source,Tc_exp available in: Nemad,False,False,False,exp-sim
(Fe0.75B0.2Si0.05)96Nb4,,,,,,598.0,,,,,,Tc_sim not available in any source,Tc_exp available in: Nemad,False,False,False,exp-sim
(Fe0.77Mg0.23)0.92O,,,,,,,,,,,,Tc_sim not available in any source,Tc_exp not available in any source,False,False,False,exp-sim
(Fe0.7Co0.3)0.75B0.2Si0.05)96Nb4,,,,,,668.0,,,,,,Tc_sim not available in any source,Tc_exp available in: Nemad,False,False,False,exp-sim
(Fe0.7Co0.3)71B29,,,,,,935.0,,,,,,Tc_sim not available in any source,Tc_exp available in: Nemad,False,False,False,exp-sim
(Fe0.7Co0.3)78Mo1B3C7P10Si1,,,,,,783.0,,,,,,Tc_sim not available in any source,Tc_exp available in: Nemad,False,False,False,exp-sim
(Fe0.7Mn0.3)2As,,,,,,400.0,,,,,,Tc_sim not available in any source,Tc_exp available in: Nemad,False,False,False,exp-sim
(Fe0.85Co0.15)78Mo1B3C7P10Si1,,,,,,665.0,,,,,,Tc_sim not available in any source,Tc_exp available in: Nemad,False,False,False,exp-sim
(Fe0.8Co0.1Ni0.1)0.75B0.2Si0.05)96Nb4,,,,,,612.5,,,,,,Tc_sim not available in any source,Tc_exp available in: Nemad,False,False,False,exp-sim
(Fe0.8Co0.2)0.75B0.2Si0.05)96Nb4,,,,,,642.0,,,,,,Tc_sim not available in any source,Tc_exp available in: Nemad,False,False,False,exp-sim
(Fe0.8Co0.2)78Mo1B3C7P10Si1,,,,,,683.0,,,,,,Tc_sim not available in any source,Tc_exp available in: Nemad,False,False,False,exp-sim
(Fe0.8Co0.2)83Si1B16,650.0,650.0,,,,,,,,,,Tc_sim available in: Nemad,Tc_exp not available in any source,False,False,False,exp-sim
(Fe0.8Ni0.2)78Si10B12,,,,,,729.0,,,,,,Tc_sim not available in any source,Tc_exp available in: Nemad,False,False,False,exp-sim
(Fe0.8Ni0.2)78Si8B14,,,,,,733.0,,,,,,Tc_sim not available in any source,Tc_exp available in: Nemad,False,False,False,exp-sim
(Fe0.90Cr0.03Ni0.07)2P,250.0,250.0,,,,295.0,,,,,45.0,Tc_sim available in: Nemad,Tc_exp available in: Nemad,False,True,False,exp-sim
(Fe0.90Cr0.05Ni0.05)2P,180.0,180.0,,,,,,,,,,Tc_sim available in: Nemad,Tc_exp not available in any source,False,False,False,exp-sim
(Fe0.90Mn0.10)2Nb,,,,,,54.0,,,,,,Tc_sim not available in any source,Tc_exp available in: Nemad,False,False,False,exp-sim
