composition,Tc_sim
Fe1.8Co0.3Si0.2P0.8,631.599128677014
Fe1.8Co0.4Si0.2P0.8,657.891210125992
Fe1.8Co0.5Si0.2P0.8,663.375524967617
Fe1.8Co0.6Si0.2P0.8,657.514712539611
Fe1.8Co0.7Si0.2P0.8,659.212089158214
Fe1.8Si0.2P0.8,671.893782859499
Fe1.9Co0.2Si0.1P0.9,775.56866822943
Fe1.9Co0.3Si0.1P0.9,794.299423151912
Fe1.9Co0.4Si0.1P0.9,760.053830190624
Fe1.9Co0.5Si0.1P0.9,752.297979911164
Fe1.9Co0.6Si0.1P0.9,753.995356529768
Fe1.9Co0.8Si0.1P0.9,732.811092336033
Fe1.9Co0.9Si0.1P0.9,721.268303833552
Fe1.9Co1Si0.1P0.9,713.512453554092
Fe10SiNi70B19,186.88
Fe11Si4Ni5,650.0
Fe12PbO19,718.0
Fe13SiNi67B19,268.47
Fe16SiNi64B19,341.82
Fe17.5Ni22.5P20Pd40,94.0
Fe18Pt7,40.0
Fe1Co2Si0.75Ge0.25,990.0
Fe1Cu0.1C0.9,2.4
Fe1Cu0.3C0.7,2.6
Fe1Cu0.5C0.5,2.67
Fe1Cu0.9C0.1,2.8
Fe2.19N1,167.0
Fe2.77Ni0.23O4,850.0
Fe2.85N1,520.0
Fe20.4Ni59.6B20,393.15
Fe20Ni20B3P7,540.0
Fe23B6,630.0
Fe2B,1024.075
Fe2B0.15P0.85,543.15
Fe2BO4,155.0
Fe2C,685.5
Fe2CoO4,793.0
Fe2CoS,1290.0
Fe2CoSi,1023.0
Fe2CuO4,982.15
Fe2N,9.0
Fe2NiO4,858.0
Fe2P,216.0
Fe2Pb3WO9,340.0
Fe2Si,780.0
Fe2Si0.35P0.65,660.15
Fe2SnO4,390.0
Fe30Co10B3P7,729.15
Fe3B,786.0
Fe3BO5,81.5
Fe3BO6,508.0
Fe3C,483.0
Fe3Ge,567.5
Fe3O4,850.0
Fe3P,716.15
Fe3Pd5,701.19
Fe3Pt,440.0
Fe3Se4,455.0
Fe3Si,857.15
Fe3Sn,725.0
Fe4N,750.0
Fe5B2P,639.0
Fe5Si0.85Ge0.15B2,926.0
Fe5Si0.8Ge0.2B2,920.0
Fe5Si0.9Ge0.1B2,911.0
Fe5SiB2,784.5
Fe66.4Co16.6Si1B16,650.0
Fe7380Co820Si2B3P6C7,684.15
Fe74.7Co8.3Si1B16,691.0
Fe74CuB17Mo8,343.0
Fe79(Si4B3)3,946.0
Fe7Se8,314.0
Fe80Co5P13C7,625.15
Fe80Si9B11,686.0
Fe83Si2B11P3C,597.0
FeB,580.0
FeCo,1193.15
FeCo2Ge,1100.0
FeCo2Si,1100.0
FeCoB,750.0
FeCoCuO4,688.0
FeGe,279.0
FeNi,830.0
