composition,Tc_sim
Gd6Co1.67Si3,294.0
Gd6Co2Si3,295.0
Gd6Co4.85,219.0
Gd6Mn23,478.5
Gd6YPd3,299.0
Gd71Co29,166.0
Gd7Dy50Al23Co20,26.0
Gd7Fe3,395.0
Gd7Pd3,334.0
Gd80Al8.7Fe11.3,237.5
Gd90Al4.3Fe5.7,250.0
Gd95Al2.2Fe2.8,232.0
Gd9Dy5Al6Co5,76.0
Gd9FeCo10,8.0
Gd9Y5Al6Co5,53.0
GdAl2,168.0
GdAlCo,100.0
GdAlCu,81.0
GdAlFe,265.0
GdAlNi,48.5
GdAlNi4,28.0
GdAlPd,46.0
GdBr2,310.0
GdCd,262.0
GdCdPd,62.0
GdCo,267.0
GdCo2,403.0
GdCo2B2C,17.2
GdCo3B2,54.0
GdCo9Si4,47.0
GdCr8Fe79B12,355.0
GdCrO4,23.15
GdCu,37.0
GdCu6,16.0
GdDyErAlCo,43.0
GdFe2,790.0
GdFe3,729.0
GdFeSi,135.0
GdGa,183.0
GdGa6,406.0
GdGaRh,58.0
GdHoErAlCo,39.0
GdHoErAlFe,55.0
GdInNi,93.5
GdInPd,96.0
GdInPt,89.0
GdMgAg,39.3
GdMgAl,59.0
GdMgPd,95.7
GdMgPt,97.6
GdMn2,108.0
GdN,59.0
GdNi,69.5
GdNi2,70.0
GdNi3,116.0
GdNi5,32.0
GdSiNi4,25.0
GdSiPd2,17.0
GdSiRh,100.0
GdTiCo11,1080.0
GdTiGe,374.0
GdTiO3,32.0
GdTiSi,294.0
GdZn,269.0
GdZr5Cr6(Fe39B5)2,340.0
Ho,19.5
Ho0.2Er0.8Ni1,6.0
Ho0.6Er0.4B4Rh4,1.9
Ho12Co7,30.0
Ho2Al,40.0
Ho2Fe17,330.0
Ho2Ga3Co,10.0
Ho2GaNi2,12.5
Ho2In,85.0
Ho2InAu2,21.0
Ho2InCu2,30.0
Ho2Mn2Fe15,302.0
Ho2MnCoO6,78.0
Ho2MnCrO6,6.1
Ho2MnZnO6,6.8
Ho3Al0.75Co3.25,65.0
Ho3Al2,40.0
Ho3Co,22.0
Ho3Pd2,9.6
Ho3Rh2,23.0
